SRA_accession,Location,Sample
SRR6960803,Japan,AS
SRR6960801,Japan,AS
SRR6960799,Japan,AS
SRR7976324,Japan,AS
SRR7976357,Japan,AS
SRR7976327,Japan,AS
SRR7976323,Japan,AS
SRR7976326,Japan,AS
SRR7976325,Japan,AS
SRR6960800,Japan,AS
SRR6960802,Japan,AS
SRR7976356,Japan,AS
SRR7473382,Austria,AS
SRR5208573,Austria,AS
SRR6050738,Austria,AS
SRR5208570,Austria,AS
SRR5208572,Austria,AS
SRR5208574,Austria,AS
SRR5208575,Austria,AS
SRR5467137,Austria,AS
SRR5467139,Austria,AS
SRR5467140,Austria,AS
SRR6050482,Austria,AS
SRR6050483,Austria,AS
SRR6050528,Austria,AS
SRR6050643,Austria,AS
SRR6050698,Austria,AS
SRR6050716,Austria,AS
SRR5466399,Illinois,AS
SRR6254352,Illinois,AS
SRR6960507,Illinois,AS
SRR5466338,Illinois,AS
SRR5466364,Illinois,AS
SRR5466365,Illinois,AS
SRR5466366,Illinois,AS
SRR5466369,Illinois,AS
SRR5466337,Illinois,AS
SRR5466723,Illinois,AS
SRR5466725,Illinois,AS
SRR5466727,Illinois,AS
SRR5466728,Illinois,AS
SRR5466729,Illinois,AS
SRR5467090,Illinois,AS
SRR5467091,Illinois,AS
SRR6049586,Illinois,AS
SRR6253161,Illinois,AS
SRR6253256,Illinois,AS
SRR6253579,Illinois,AS
SRR6254351,Illinois,AS
SRR6254353,Illinois,AS
SRR6254893,Illinois,AS
SRR6254984,Illinois,AS
SRR6255402,Illinois,AS
SRR6255513,Illinois,AS
SRR6255520,Illinois,AS
SRR6255521,Illinois,AS
SRR6255522,Illinois,AS
SRR6255733,Illinois,AS
SRR6255746,Illinois,AS
SRR6960509,Illinois,AS
SRR6960540,Illinois,AS
SRR6960549,Illinois,AS
SRR6960550,Illinois,AS
SRR6960551,Illinois,AS
SRR6960797,Illinois,AS
SRR7976295,Illinois,AS
SRR7976299,Illinois,AS
SRR7976300,Illinois,AS
SRR7976301,Illinois,AS
SRR7976310,Illinois,AS
SRR5834492,Lake_Mendota,Aq
SRR6823494,Lake_Mendota,Aq
SRR6435858,Lake_Mendota,Aq
SRR6435866,Lake_Mendota,Aq
SRR7687319,Mississippi_River,Aq
SRR7687334,Mississippi_River,Aq
SRR7687308,Mississippi_River,Aq
SRR7963800,Mississippi_River,Aq
SRR5995670,Singapore,Aq
SRR5995695,Singapore,Aq
SRR5995666,Singapore,Aq
SRR5995668,Singapore,Aq
