Sample	penguin	megahit	metaspades	rnaspades	rnaviralspades	haploflow	vicuna
SRR6960803	44	x	28	26	x	3	x
SRR6960801	x	3	4	1	2	1	x
SRR6960799	66	54	62	x	x	12	x
SRR7976324	x	8	10	x	9	x	5
SRR7976357	50	30	29	x	28	5	x
SRR7976327	x	x	2	2	2	x	x
SRR7976323	x	11	14	13	14	x	9
SRR7976326	29	19	24	x	x	2	3
SRR7976325	53	x	48	38	38	3	13
SRR6960800	2	2	1	1	1	0	0
SRR6960802	27	10	12	11	11	3	6
SRR7976356	53	24	23	25	x	1	12
SRR7473382	27	17	x	15	x	5	x
SRR5208573	10	7	x	7	7	x	x
SRR6050738	34	17	17	13	13	7	9
SRR5208570	18	11	x	x	9	x	5
SRR5208572	x	x	x	7	6	x	x
SRR5208574	x	11	10	9	9	x	7
SRR5208575	x	x	17	16	16	3	8
SRR5467137	5	4	x	5	3	2	x
SRR5467139	x	x	20	18	18	4	9
SRR5467140	x	x	x	9	12	x	x
SRR6050482	x	4	4	4	4	0	0
SRR6050483	6	6	x	5	x	1	x
SRR6050528	8	7	9	7	5	3	2
SRR6050643	3	x	4	2	x	0	1
SRR6050698	20	x	13	x	x	4	6
SRR6050716	15	12	12	7	5	x	x
SRR5466399	16	9	8	x	x	1	3
SRR6254352	24	17	15	15	14	x	7
SRR6960507	x	21	20	20	16	2	x
SRR5466338	57	26	24	x	23	2	x
SRR5466364	40	30	26	23	22	3	x
SRR5466365	62	29	21	24	20	0	x
SRR5466366	x	25	20	21	18	2	x
SRR5466369	x	24	18	20	16	2	x
SRR5466337	44	24	20	20	19	x	x
SRR5466723	64	25	25	28	25	x	12
SRR5466725	86	x	56	52	46	15	x
SRR5466727	80	x	43	x	42	x	x
SRR5466728	46	28	28	x	x	0	9
SRR5466729	71	x	35	43	x	5	x
SRR5467090	55	x	29	30	x	0	11
SRR5467091	53	x	34	x	30	6	14
SRR6049586	x	x	23	22	16	1	x
SRR6253161	35	x	27	30	23	3	x
SRR6253256	x	12	12	x	11	0	4
SRR6253579	31	17	15	18	16	x	5
SRR6254351	28	14	13	x	11	0	8
SRR6254353	x	21	18	18	12	1	8
SRR6254893	28	13	13	x	14	x	8
SRR6254984	26	13	14	x	12	x	6
SRR6255402	24	19	15	17	12	x	6
SRR6255513	27	12	9	6	7	0	4
SRR6255520	20	12	10	9	9	0	6
SRR6255521	28	15	14	11	10	3	4
SRR6255522	15	x	9	8	9	0	5
SRR6255733	58	x	36	36	x	5	14
SRR6255746	51	x	30	30	28	13	16
SRR6960509	x	19	23	26	20	5	x
SRR6960540	7	x	5	5	4	1	4
SRR6960549	x	22	27	x	x	2	14
SRR6960550	x	8	8	8	8	x	6
SRR6960551	x	37	34	x	32	11	x
SRR6960797	x	20	18	x	x	x	9
SRR7976295	5	1	1	1	1	0	1
SRR7976299	45	20	21	x	20	x	12
SRR7976300	25	21	17	19	15	1	x
SRR7976301	30	26	24	x	21	5	15
SRR7976310	x	27	25	26	27	5	19
SRR5834492	0	x	0	x	0	0	0
SRR6823494	x	0	0	0	0	x	0
SRR6435858	0	0	0	0	0	0	x
SRR6435866	0	0	0	0	0	0	x
SRR7687319	0	0	0	0	x	0	x
SRR7687334	12	1	2	45	x	2	x
SRR7687308	0	1	1	1	x	x	x
SRR7963800	16	1	1	8	2	2	x
SRR5995670	0	6	6	3	6	0	1
SRR5995695	x	x	0	x	0	0	0
SRR5995666	x	x	0	x	0	x	0
SRR5995668	x	0	0	0	x	x	0
