Sample	penguin	megahit	metaspades	rnaspades	rnaviralspades	haploflow	vicuna
SRR6960803	53654508	4710588	19684200	12745928	12749204	61560032	122029076
SRR6960801	60469800	4738900	19968020	13440576	13458652	65797564	122007392
SRR6960799	50354620	5272096	40668452	17385508	15931800	99827804	
SRR7976324	37272600	4207824	37909920	10207024	10190344	39826472	50880384
SRR7976357	56337692	5520000	19954868	12627536	12627792	60305640	
SRR7976327	60950400	4849220	20241040	13184908	13169608	63186972	121427588
SRR7976323	47744372	4657824	19932244	12843820	12847660	65246448	85215360
SRR7976326	25538556	2999416	33212192	12085376	12081256	41299424	46691960
SRR7976325	36922224	4132068	33523892	12101736	12064864	59362788	66335848
SRR6960800	44661600	3720608	17049560	12229684	12234400	50138568	106756644
SRR6960802	46403476	4783900	19847516	12714036	12705616	64622876	75814156
SRR7976356	59088560	4674152	21430904	12093252	12136840	55335760	114719516
SRR7473382	95432144	11492736	122265136	18043116	13806940	65698820	
SRR5208573	28289028	3374588	897200	12165224	12183648		
SRR6050738	45402548	4141408	88158532	12183868	12183656	36381040	45929908
SRR5208570	71826996	6723472	122328224	12183264	12167984	45592540	67562632
SRR5208572	54389712	6922400	897200	12157720	12142700		
SRR5208574	21585336	2653104	30283836	12154352	12223276	21025244	47029052
SRR5208575	33287304	4111216	110128320	12140648	12245096	32716696	47042600
SRR5467137	59124200	7544328	x	12239004	12239028	28321488	
SRR5467139	41635800	5355676	117837632	12136556	12182836	48149196	46534228
SRR5467140	50735400	6482128	120000140	13637652	12193504		
SRR6050482	27119496	3476020	75796336	12113688	12155708	18058228	41070484
SRR6050483	52151592	6396088	897204	12181608	12238952	29871452	
SRR6050528	53795944	4786132	117104100	12209344	12174312	38993296	68688316
SRR6050643	8530808	1095072	16074712	12137840	12021512	11519132	16766768
SRR6050698	35908360	4023008	68941336	12183652	12206840	43840032	64532552
SRR6050716	41541788	5298004	95327776	12244208	12224496		
SRR5466399	31643672	3429300	16603096	12020848	12051960	35664452	49953628
SRR6254352	46476224	4447996	19706572	12761876	12765548	68450632	71806436
SRR6960507	50374968	4935028	22393992	13845436	13845804	74733476	
SRR5466338	46193536	3922388	24870708	15577020	15344144	95702048	
SRR5466364	55504496	5087432	22857992	14600764	14005252	76330228	
SRR5466365	48632992	4788564	27492020	14006136	13191620	68929220	
SRR5466366	44670044	4014588	21887644	13612056	13611768	75189792	
SRR5466369	46251292	3785044	35028252	16717908	16076548	102720916	
SRR5466337	48085628	4632172	22344276	13005260	13017324	67977056	
SRR5466723	33471724	3664836	16064404	9759852	9727560	36462360	42664300
SRR5466725	43185656	3850552	38960396	17380908	15632996	98266368	
SRR5466727	33661496	3178896	23656708	12687676	12692576	67559740	
SRR5466728	32833708	3546240	20386860	12007780	11978968	56071408	58347912
SRR5466729	33520156	3169112	35190332	14651116	13343344	73672612	
SRR5467090	37943496	3763132	20188264	12122540	12116888	60458020	61044868
SRR5467091	38043936	3609908	21340780	12763028	12776048	67537536	63911988
SRR6049586	36605032	3700316	21381896	12286832	12289408	63277468	
SRR6253161	47531912	4514928	23557060	14608052	14052932	78158708	
SRR6253256	37272756	3911840	19334016	10982696	11066132	43680140	44986592
SRR6253579	42745020	4497704	25434740	11370920	11367684	53925260	50749472
SRR6254351	43276388	4304136	24012160	11322784	11327600	54687000	55835800
SRR6254353	40284052	3736100	18998392	12226288	12228916	61058368	67976804
SRR6254893	37919236	4005072	17316648	10514244	10485620	46062564	52924100
SRR6254984	38833876	4101368	20832584	11038008	11040196	51348224	50635360
SRR6255402	42895136	4756392	26602228	9898648	9773500	33718760	54886860
SRR6255513	36456864	3821316	25660972	11622320	11697296	37291740	46734656
SRR6255520	32398136	3422084	18569512	11149420	11284192	48120420	44984712
SRR6255521	37323084	4274064	18896184	10806408	10786056	39842832	50482184
SRR6255522	32301740	3307384	16611292	11581124	11643824	44578776	51565084
SRR6255733	34452596	3629828	15929304	9604524	9622092	33895600	44109692
SRR6255746	40743136	4461860	16033732	9875704	9880312	37465128	49375004
SRR6960509	54878152	5027188	25140264	17467084	15991180	99854716	
SRR6960540	1873872	465700	5931808	6206780	6210816	7006756	4242352
SRR6960549	8201076	837292	13244356	11893432	11918060	26255628	14903952
SRR6960550	4153748	589780	11524944	11739524	11737864	12521208	9655536
SRR6960551	52425252	6081676	70908288	15665828	14209648	76554140	
SRR6960797	28982524	3167056	19190132	12099684	12093532	56870464	56910684
SRR7976295	6192748	693028	11864896	11917864	11953716	17002892	12425728
SRR7976299	9560504	1016752	16979928	12118764	11975400	26240844	15744620
SRR7976300	40598536	3896012	21086828	12466600	12476380	61510188	
SRR7976301	41952600	4463468	23605924	13670268	13674316	75358424	68281684
SRR7976310	41404988	4309664	20602608	12822540	12823368	67331292	69588336
SRR5834492	46659976	5015780	47477256	14712868	14573560	82700548	65900880
SRR6823494	30508636	3498108	40137876	12183828	12187216	45414312	43097280
SRR6435858	52399768	6076908	84208168	15342940	15113504	91410012	
SRR6435866	55342696	6626544	78206544	15704660	15201808	92516376	
SRR7687319	47603384	4807608	46252128	22153000	16343112	122241660	
SRR7687334	55374068	6142068	67804776	21344028	14755324	110471408	
SRR7687308	57566904	5860588	44000932	25769684	18491712	124779144	
SRR7963800	62250908	5511900	47202840	21742268	15375316	116714672	120108920
SRR5995670	4126140	1672548	11770736	11692784	12129076	52818696	7643800
SRR5995695	3632356	2052348	11215212	12312404	12613264	59937104	6666584
SRR5995666	2989068	1599204	11823944	11997968	11768168	39502964	5504420
SRR5995668	4050656	1561848	11969352	11850112	11895176	41224652	7100064
