Sample	penguin	megahit	metaspades	rnaspades	rnaviralspades	haploflow	vicuna
SRR6960803	90	x	43	45	x	5	x
SRR6960801	x	7	8	6	6	2	x
SRR6960799	155	126	125	x	x	31	x
SRR7976324	x	13	13	x	14	x	9
SRR7976357	105	41	44	x	37	7	x
SRR7976327	x	x	5	5	4	x	x
SRR7976323	x	17	20	24	19	x	12
SRR7976326	70	51	53	x	x	7	9
SRR7976325	135	x	110	103	85	17	29
SRR6960800	4	4	5	4	4	1	1
SRR6960802	77	16	17	18	15	7	11
SRR7976356	103	40	41	43	x	2	17
SRR7473382	42	27	x	25	x	10	x
SRR5208573	19	13	x	12	13	x	x
SRR6050738	53	21	23	18	18	13	14
SRR5208570	31	18	x	x	15	x	8
SRR5208572	x	x	x	15	13	x	x
SRR5208574	x	12	12	11	10	x	7
SRR5208575	x	x	23	22	21	10	13
SRR5467137	7	8	x	8	8	5	x
SRR5467139	x	x	22	21	21	9	14
SRR5467140	x	x	x	15	14	x	x
SRR6050482	x	8	8	7	6	2	0
SRR6050483	16	11	x	9	x	1	x
SRR6050528	14	12	13	12	12	8	4
SRR6050643	10	x	5	6	x	4	3
SRR6050698	32	x	19	x	x	10	10
SRR6050716	33	15	14	12	10	x	x
SRR5466399	33	25	22	x	x	3	4
SRR6254352	53	38	36	36	29	x	11
SRR6960507	x	44	42	42	38	5	x
SRR5466338	113	49	47	x	37	5	x
SRR5466364	82	50	46	46	41	10	x
SRR5466365	99	45	42	40	34	2	x
SRR5466366	x	42	37	40	33	7	x
SRR5466369	x	43	41	42	35	3	x
SRR5466337	79	47	44	38	35	x	x
SRR5466723	152	62	57	59	49	x	22
SRR5466725	184	x	93	87	77	50	x
SRR5466727	190	x	83	x	75	x	x
SRR5466728	105	50	48	x	x	5	19
SRR5466729	184	x	72	77	x	17	x
SRR5467090	129	x	50	52	x	9	23
SRR5467091	110	x	59	x	44	16	29
SRR6049586	x	x	41	42	34	6	x
SRR6253161	71	x	47	52	40	11	x
SRR6253256	x	28	26	x	23	3	8
SRR6253579	61	37	32	35	29	x	10
SRR6254351	52	31	27	x	25	6	11
SRR6254353	x	41	38	34	30	6	15
SRR6254893	49	33	33	x	24	x	10
SRR6254984	56	32	30	x	23	x	11
SRR6255402	46	34	32	32	27	x	9
SRR6255513	56	28	25	18	17	0	6
SRR6255520	44	30	27	22	15	1	12
SRR6255521	44	26	24	22	21	7	6
SRR6255522	36	x	24	25	22	3	7
SRR6255733	157	x	64	65	x	11	25
SRR6255746	115	x	58	54	50	28	23
SRR6960509	x	51	51	51	41	18	x
SRR6960540	13	x	11	10	9	1	6
SRR6960549	x	50	50	x	x	15	21
SRR6960550	x	17	17	17	16	x	8
SRR6960551	x	68	67	x	55	29	x
SRR6960797	x	37	36	x	x	x	15
SRR7976295	11	4	5	5	3	0	3
SRR7976299	83	44	42	x	33	x	17
SRR7976300	49	33	35	34	25	6	x
SRR7976301	49	38	39	x	34	12	21
SRR7976310	x	42	39	37	33	18	25
SRR5834492	0	x	0	x	0	0	0
SRR6823494	x	0	0	0	0	x	0
SRR6435858	0	0	0	0	0	0	x
SRR6435866	0	1	1	0	0	0	x
SRR7687319	2	2	2	0	x	0	x
SRR7687334	53	1	2	73	x	2	x
SRR7687308	1	3	3	2	x	x	x
SRR7963800	48	2	2	9	2	2	x
SRR5995670	0	12	12	11	14	0	1
SRR5995695	x	x	1	x	1	0	0
SRR5995666	x	x	1	x	1	x	0
SRR5995668	x	2	2	2	x	x	0
