Sample	penguin	megahit	metaspades	rnaspades	rnaviralspades	haploflow	vicuna
SRR6960803	209	x	83	70	x	16	x
SRR6960801	x	14	15	11	13	2	x
SRR6960799	334	247	243	x	x	71	x
SRR7976324	x	18	18	x	15	x	12
SRR7976357	218	94	94	x	71	22	x
SRR7976327	x	x	12	9	7	x	x
SRR7976323	x	26	25	24	20	x	17
SRR7976326	142	109	106	x	x	21	22
SRR7976325	323	x	186	183	153	34	45
SRR6960800	5	6	7	5	5	1	3
SRR6960802	223	21	22	25	19	10	14
SRR7976356	230	84	67	74	x	7	27
SRR7473382	69	32	x	32	x	12	x
SRR5208573	33	23	x	16	16	x	x
SRR6050738	80	30	30	26	26	21	17
SRR5208570	48	22	x	x	19	x	12
SRR5208572	x	x	x	20	19	x	x
SRR5208574	x	19	20	20	17	x	14
SRR5208575	x	x	26	23	23	17	18
SRR5467137	13	10	x	9	9	9	x
SRR5467139	x	x	28	26	26	16	22
SRR5467140	x	x	x	22	20	x	x
SRR6050482	x	12	13	11	12	4	4
SRR6050483	23	16	x	13	x	2	x
SRR6050528	22	16	18	15	14	11	8
SRR6050643	16	x	12	7	x	7	4
SRR6050698	52	x	23	x	x	17	14
SRR6050716	67	20	18	19	16	x	x
SRR5466399	65	30	34	x	x	6	9
SRR6254352	91	51	52	50	44	x	17
SRR6960507	x	85	83	79	66	11	x
SRR5466338	205	67	67	x	63	13	x
SRR5466364	134	73	77	73	67	23	x
SRR5466365	181	59	61	60	52	4	x
SRR5466366	x	62	60	63	54	12	x
SRR5466369	x	63	64	63	54	7	x
SRR5466337	167	67	64	65	57	x	x
SRR5466723	294	87	89	84	77	x	40
SRR5466725	386	x	141	127	119	78	x
SRR5466727	418	x	131	x	119	x	x
SRR5466728	202	74	69	x	x	16	37
SRR5466729	417	x	114	112	x	35	x
SRR5467090	264	x	86	89	x	17	39
SRR5467091	209	x	86	x	81	30	39
SRR6049586	x	x	57	61	55	13	x
SRR6253161	122	x	67	76	62	24	x
SRR6253256	x	42	42	x	31	12	17
SRR6253579	99	52	48	53	44	x	17
SRR6254351	90	47	47	x	39	12	19
SRR6254353	x	56	56	58	52	13	28
SRR6254893	88	47	44	x	44	x	17
SRR6254984	101	50	45	x	46	x	19
SRR6255402	85	46	45	51	42	x	20
SRR6255513	108	39	36	34	29	2	14
SRR6255520	83	44	40	42	34	8	15
SRR6255521	77	39	35	37	33	13	19
SRR6255522	59	x	38	39	33	10	12
SRR6255733	335	x	96	99	x	25	42
SRR6255746	223	x	88	85	78	46	38
SRR6960509	x	82	79	77	67	33	x
SRR6960540	24	x	14	15	13	5	7
SRR6960549	x	82	85	x	x	30	30
SRR6960550	x	25	24	22	20	x	13
SRR6960551	x	101	98	x	84	51	x
SRR6960797	x	59	63	x	x	x	22
SRR7976295	29	14	16	10	13	2	3
SRR7976299	171	72	73	x	58	x	24
SRR7976300	106	71	64	62	51	14	x
SRR7976301	107	73	81	x	59	19	23
SRR7976310	x	67	65	62	59	24	30
SRR5834492	4	x	2	x	2	0	1
SRR6823494	x	1	1	1	1	x	1
SRR6435858	1	1	1	1	1	1	x
SRR6435866	4	3	3	3	3	1	x
SRR7687319	3	6	8	3	x	1	x
SRR7687334	245	3	2	78	x	2	x
SRR7687308	7	9	10	6	x	x	x
SRR7963800	120	2	2	9	2	4	x
SRR5995670	41	40	38	27	39	3	2
SRR5995695	x	x	2	x	3	0	0
SRR5995666	x	x	1	x	2	x	1
SRR5995668	x	3	3	3	x	x	0
