Sample	penguin	megahit	metaspades	rnaspades	rnaviralspades	haploflow	vicuna
SRR6960803	5622.73	1637.93	12156.01	1655.16	1501.62	8596.64	599137.98
SRR6960801	6088.38	1811.68	9579.12	1843.37	1764.69	10794.48	685175.03
SRR6960799	4648.25	2008.94	24081.27	2608.61	2143.64	22665.17	
SRR7976324	5860.08	914.24	22533.07	2526.38	1022.51	6074.21	139746.12
SRR7976357	6494.85	1595.17	18289.26	1732.26	1580.06	11489.28	
SRR7976327	5975.69	1804.96	10028.49	1797.35	1668.89	10987.46	574244.18
SRR7976323	5949.25	1471.03	18304.59	1684.20	1462.48	9848.39	542751.89
SRR7976326	2437.10	833.97	12475.19	1067.30	1053.13	11981.08	175411.65
SRR7976325	3663.05	1190.73	15915.48	1462.49	1520.40	14078.33	331849.18
SRR6960800	4738.72	1314.41	8911.99	1334.45	1196.30	7201.54	503896.01
SRR6960802	5594.91	1449.36	20202.72	2136.39	1403.07	8915.19	430455.23
SRR7976356	5342.93	1480.36	14920.19	1579.92	1418.34	11199.12	608676.71
SRR7473382	9033.37	2447.55	28695.99	3437.64	3343.59	99085.29	
SRR5208573	2424.56	937.80	648004.66	1157.90	1106.34		
SRR6050738	4385.42	1054.72	21192.83	1364.79	1318.12	34607.08	139299.06
SRR5208570	6910.22	1667.93	25452.79	2227.13	2250.22	83245.03	392742.28
SRR5208572	4968.16	1335.54	322860.77	1858.02	1946.77		
SRR5208574	1827.25	615.04	8298.36	740.09	719.33	817726.74	513523.50
SRR5208575	2916.27	909.54	23036.31	1294.31	1216.02	34768.00	308565.73
SRR5467137	5336.03	1274.85	x	2165.35	1902.25	68388.93	
SRR5467139	3493.88	1025.04	27544.07	1594.57	1519.04	31466.93	281546.86
SRR5467140	4483.80	1270.06	27124.59	1760.02	1769.93		
SRR6050482	2297.42	639.54	15569.84	901.38	901.35	25263.40	213273.59
SRR6050483	4597.89	1245.24	332944.64	1704.71	1718.64	95639.27	
SRR6050528	4631.33	1113.90	24987.51	1577.80	1555.56	45098.95	186284.07
SRR6050643	645.22	296.19	2587.76	352.13	335.84	7914.08	87557.29
SRR6050698	3150.08	1208.53	13219.31	1495.58	1363.71	63866.64	733121.21
SRR6050716	3415.69	906.34	22361.99	1315.28	1312.07		
SRR5466399	3374.30	816.92	9845.41	960.29	814.12	5797.77	389272.33
SRR6254352	4998.96	1289.48	16558.36	1475.17	1300.72	8201.41	433116.22
SRR6960507	4905.23	1648.32	16284.87	1751.51	1589.14	10402.36	
SRR5466338	3938.22	1761.27	9655.21	1946.80	1657.39	11850.18	
SRR5466364	5407.53	1784.83	12782.35	1834.18	1592.53	11243.56	
SRR5466365	4743.28	1580.82	15771.62	1645.12	1448.07	10702.07	
SRR5466366	4249.56	1536.56	10596.45	1455.91	1483.99	9140.39	
SRR5466369	3908.89	1838.09	8812.46	1952.15	1770.19	11077.76	
SRR5466337	4949.49	1494.76	14990.16	1646.72	1461.53	9825.42	
SRR5466723	3835.37	786.32	15873.75	1347.27	733.07	4766.15	216935.38
SRR5466725	3693.83	1868.17	7359.09	1846.77	1460.01	10997.42	
SRR5466727	2945.03	1282.74	6276.56	1340.42	1213.55	7517.24	
SRR5466728	3095.56	1084.65	9307.66	1166.99	1072.32	7328.78	850015.37
SRR5466729	2778.41	1466.20	7614.32	1455.46	1322.33	7496.37	
SRR5467090	3825.87	1211.61	12252.15	1369.95	1269.96	7232.57	736450.63
SRR5467091	3505.86	1284.10	9072.33	1399.67	1310.27	7715.73	767237.67
SRR6049586	3253.32	1298.82	8182.65	1380.13	1218.89	7713.96	
SRR6253161	4279.17	1673.89	10625.48	1790.83	1683.33	10728.71	
SRR6253256	4362.75	884.85	15559.58	1064.42	991.27	6037.84	184483.18
SRR6253579	4876.31	1090.16	19348.16	1404.42	1228.68	7466.58	327495.75
SRR6254351	5117.67	1032.78	18717.30	1394.15	1099.96	6810.32	240299.00
SRR6254353	3942.17	1254.87	9973.57	1425.96	1329.07	8978.90	491091.80
SRR6254893	4383.20	902.40	15939.83	1073.07	915.59	6250.51	168218.67
SRR6254984	4370.48	1056.93	16445.18	1211.74	1123.62	6930.67	460587.81
SRR6255402	5655.90	776.98	24118.88	1275.38	923.63	5818.51	121300.89
SRR6255513	4044.27	847.28	16065.08	1142.81	955.71	5912.19	203603.44
SRR6255520	3380.49	944.96	12031.72	1061.27	944.36	5639.92	517883.86
SRR6255521	4188.95	861.19	16832.78	1075.35	887.25	5837.33	179856.52
SRR6255522	3481.59	831.60	10817.24	929.31	905.55	5132.72	164878.00
SRR6255733	3987.59	747.71	16564.66	1242.73	770.75	4915.42	182037.32
SRR6255746	4835.16	893.10	18829.64	1073.59	938.76	5784.03	265050.04
SRR6960509	4844.76	2003.91	13533.76	2124.74	2104.46	16781.74	
SRR6960540	108.85	80.50	362.55	86.95	72.27	391.88	3597.93
SRR6960549	596.62	351.44	1387.99	455.08	347.94	2019.80	45542.95
SRR6960550	318.95	154.04	660.00	184.72	164.09	1073.18	12911.35
SRR6960551	5102.96	1801.90	25939.47	2237.70	2288.83	31405.53	
SRR6960797	2707.93	1106.22	7858.87	1311.82	1255.78	15157.57	674655.59
SRR7976295	494.65	251.84	1163.71	255.51	228.79	1203.84	16739.84
SRR7976299	759.86	396.70	1760.15	472.67	445.75	2514.74	69777.55
SRR7976300	3590.12	1411.89	11189.24	1319.41	1438.14	8503.95	
SRR7976301	3880.36	1417.11	11629.47	1835.06	1665.90	11974.87	675721.46
SRR7976310	4101.05	1335.76	13468.40	1590.22	1526.33	12861.60	506192.47
SRR5834492	4854.60	1629.78	18008.37	2098.67	2126.31	12369.37	504066.24
SRR6823494	3060.70	950.96	11288.83	1255.02	1205.88	9950.35	236977.51
SRR6435858	5184.82	1815.16	23967.05	2412.04	2381.77	17471.39	
SRR6435866	5607.28	1817.45	25223.22	2481.86	2433.98	20351.41	
SRR7687319	4086.60	2542.57	16081.79	2847.64	2668.30	33893.51	
SRR7687334	5972.29	2326.22	27922.56	2677.79	2564.99	20575.50	
SRR7687308	5275.50	2944.55	18773.34	3381.02	3073.66	17095.07	
SRR7963800	4787.24	2316.74	22102.57	2712.34	2562.24	21237.67	840306.03
SRR5995670	259.49	719.37	2024.89	776.87	933.86	2653.70	6803.26
SRR5995695	207.43	1112.77	4974.25	841.06	1050.11	2771.50	7842.42
SRR5995666	180.49	599.78	1844.50	573.32	721.23	1958.60	7862.64
SRR5995668	241.57	781.57	2106.16	684.00	813.52	1883.55	6603.66
