Tool	Contig	Length
penguin	SRR6960803_1217	3846
penguin	SRR6960803_1494	3660
penguin	SRR6960803_3188	3352
penguin	SRR6960803_9441	4423
penguin	SRR6960803_21069	3846
penguin	SRR6960803_21575	4267
penguin	SRR6960803_26957	3646
penguin	SRR6960803_27972	3688
penguin	SRR6960803_30540	4958
penguin	SRR6960803_33052	3735
penguin	SRR6960803_34788	3589
penguin	SRR6960803_36706	3438
penguin	SRR6960803_47678	4276
penguin	SRR6960803_52938	3557
penguin	SRR6960803_55383	3185
penguin	SRR6960803_77436	3586
penguin	SRR6960803_96874	3603
penguin	SRR6960803_97749	3688
penguin	SRR6960803_102223	3501
penguin	SRR6960803_102310	3624
penguin	SRR6960803_104615	2918
penguin	SRR6960803_127007	3421
penguin	SRR6960803_127227	3452
penguin	SRR6960803_129931	3604
penguin	SRR6960803_131943	3421
penguin	SRR6960803_137091	2184
penguin	SRR6960803_137412	3676
penguin	SRR6960803_152356	3837
penguin	SRR6960803_196102	3499
penguin	SRR6960803_203666	3650
penguin	SRR6960803_222909	3688
penguin	SRR6960803_239350	3603
penguin	SRR6960801_7959	3731
penguin	SRR6960801_65887	3832
penguin	SRR6960801_189665	3642
penguin	SRR6960799_969	4096
penguin	SRR6960799_6053	3595
penguin	SRR6960799_7237	4161
penguin	SRR6960799_8039	4013
penguin	SRR6960799_8529	3567
penguin	SRR6960799_10281	3928
penguin	SRR6960799_11188	3698
penguin	SRR6960799_12139	3296
penguin	SRR6960799_12995	4334
penguin	SRR6960799_13340	3983
penguin	SRR6960799_14538	4118
penguin	SRR6960799_14971	3716
penguin	SRR6960799_15487	4049
penguin	SRR6960799_16015	3560
penguin	SRR6960799_17157	3913
penguin	SRR6960799_17965	3711
penguin	SRR6960799_17974	4410
penguin	SRR6960799_18294	3779
penguin	SRR6960799_20334	3750
penguin	SRR6960799_23732	4194
penguin	SRR6960799_26460	3873
penguin	SRR6960799_27794	4852
penguin	SRR6960799_28187	3561
penguin	SRR6960799_30533	4158
penguin	SRR6960799_34143	3555
penguin	SRR6960799_37637	3453
penguin	SRR6960799_41075	3294
penguin	SRR6960799_41330	4012
penguin	SRR6960799_41386	4161
penguin	SRR6960799_42514	3739
penguin	SRR6960799_46425	3825
penguin	SRR6960799_51495	3778
penguin	SRR6960799_52288	4206
penguin	SRR6960799_62197	3555
penguin	SRR6960799_64127	4011
penguin	SRR6960799_65604	6170
penguin	SRR6960799_66478	3736
penguin	SRR6960799_67208	3484
penguin	SRR6960799_77212	3888
penguin	SRR6960799_81187	3537
penguin	SRR6960799_81521	3876
penguin	SRR6960799_91330	4652
penguin	SRR6960799_91366	3743
penguin	SRR6960799_91912	4700
penguin	SRR6960799_98550	3748
penguin	SRR6960799_99269	3886
penguin	SRR6960799_99949	4161
penguin	SRR6960799_104210	2630
penguin	SRR6960799_105943	3560
penguin	SRR6960799_108349	4700
penguin	SRR6960799_110564	3560
penguin	SRR6960799_116208	3555
penguin	SRR6960799_140237	4158
penguin	SRR7976324_1325	2644
penguin	SRR7976324_9609	3655
penguin	SRR7976324_16551	4840
penguin	SRR7976324_26806	3921
penguin	SRR7976324_28232	3921
penguin	SRR7976324_29120	4450
penguin	SRR7976324_31181	3444
penguin	SRR7976324_45971	3647
penguin	SRR7976324_46013	3627
penguin	SRR7976324_48140	2810
penguin	SRR7976324_48602	4360
penguin	SRR7976324_49857	3919
penguin	SRR7976324_55774	3122
penguin	SRR7976324_58965	3826
penguin	SRR7976324_61244	3602
penguin	SRR7976324_64106	5491
penguin	SRR7976324_65573	3072
penguin	SRR7976324_90144	3101
penguin	SRR7976324_102562	4162
penguin	SRR7976357_2236	3727
penguin	SRR7976357_2938	4895
penguin	SRR7976357_4928	3680
penguin	SRR7976357_9066	3399
penguin	SRR7976357_11066	3736
penguin	SRR7976357_20661	3654
penguin	SRR7976357_23268	3509
penguin	SRR7976357_28195	3534
penguin	SRR7976357_32310	3602
penguin	SRR7976357_33225	3607
penguin	SRR7976357_42288	4208
penguin	SRR7976357_45731	3865
penguin	SRR7976357_49502	4893
penguin	SRR7976357_54137	3499
penguin	SRR7976357_56438	3395
penguin	SRR7976357_59521	4879
penguin	SRR7976357_62886	3654
penguin	SRR7976357_64862	5273
penguin	SRR7976357_78564	3680
penguin	SRR7976357_83848	3899
penguin	SRR7976357_84311	3617
penguin	SRR7976357_88095	3607
penguin	SRR7976357_96626	3441
penguin	SRR7976357_97400	3605
penguin	SRR7976357_109804	3602
penguin	SRR7976357_112332	4604
penguin	SRR7976357_114604	3606
penguin	SRR7976357_121318	2869
penguin	SRR7976357_122910	3661
penguin	SRR7976357_125309	3391
penguin	SRR7976357_125839	3135
penguin	SRR7976357_126061	3140
penguin	SRR7976357_128953	3654
penguin	SRR7976357_129571	3605
penguin	SRR7976357_134071	3809
penguin	SRR7976357_134544	3654
penguin	SRR7976357_165081	4259
penguin	SRR7976357_167646	3762
penguin	SRR7976357_178785	3140
penguin	SRR7976357_188506	3607
penguin	SRR7976357_198109	3680
penguin	SRR7976327_68110	4750
penguin	SRR7976323_10464	3852
penguin	SRR7976323_11823	3929
penguin	SRR7976323_14335	3925
penguin	SRR7976323_28046	3718
penguin	SRR7976323_34583	3741
penguin	SRR7976323_39718	3416
penguin	SRR7976323_41586	3930
penguin	SRR7976323_47681	3741
penguin	SRR7976323_51971	3922
penguin	SRR7976323_52885	3741
penguin	SRR7976323_58350	3741
penguin	SRR7976323_65150	3387
penguin	SRR7976323_65652	4827
penguin	SRR7976323_69827	2795
penguin	SRR7976323_73928	3741
penguin	SRR7976323_82870	4164
penguin	SRR7976323_89096	3869
penguin	SRR7976323_95158	3529
penguin	SRR7976323_100614	3741
penguin	SRR7976323_103109	3741
penguin	SRR7976323_105032	3386
penguin	SRR7976323_105158	3719
penguin	SRR7976323_111819	4506
penguin	SRR7976323_116274	3741
penguin	SRR7976323_121684	3089
penguin	SRR7976323_127501	3828
penguin	SRR7976323_160894	3741
penguin	SRR7976323_175489	3719
penguin	SRR7976326_5891	3933
penguin	SRR7976326_6476	4016
penguin	SRR7976326_11842	3160
penguin	SRR7976326_15029	3923
penguin	SRR7976326_15969	2510
penguin	SRR7976326_16271	4588
penguin	SRR7976326_22466	7500
penguin	SRR7976326_23885	3694
penguin	SRR7976326_24914	3761
penguin	SRR7976326_25367	3760
penguin	SRR7976326_28052	3559
penguin	SRR7976326_31434	7316
penguin	SRR7976326_31943	2964
penguin	SRR7976326_34235	3623
penguin	SRR7976326_37097	4191
penguin	SRR7976326_46491	3777
penguin	SRR7976326_66533	4017
penguin	SRR7976325_521	3859
penguin	SRR7976325_563	3893
penguin	SRR7976325_1698	3763
penguin	SRR7976325_2706	3766
penguin	SRR7976325_3467	4216
penguin	SRR7976325_4394	3801
penguin	SRR7976325_4549	3764
penguin	SRR7976325_4896	4026
penguin	SRR7976325_4939	3908
penguin	SRR7976325_5760	3364
penguin	SRR7976325_6417	3809
penguin	SRR7976325_7906	3801
penguin	SRR7976325_7934	4616
penguin	SRR7976325_8240	3540
penguin	SRR7976325_9418	3421
penguin	SRR7976325_11389	3670
penguin	SRR7976325_12215	3663
penguin	SRR7976325_12788	3746
penguin	SRR7976325_13583	3845
penguin	SRR7976325_14242	3646
penguin	SRR7976325_14600	3782
penguin	SRR7976325_22697	3555
penguin	SRR7976325_25436	3724
penguin	SRR7976325_28138	3901
penguin	SRR7976325_34232	3487
penguin	SRR7976325_40980	4502
penguin	SRR7976325_42349	3097
penguin	SRR7976325_43957	3261
penguin	SRR7976325_53767	3906
penguin	SRR7976325_58044	5589
penguin	SRR7976325_61011	3676
penguin	SRR7976325_62699	3559
penguin	SRR7976325_63676	3894
penguin	SRR7976325_69523	3309
penguin	SRR7976325_74291	4027
penguin	SRR7976325_83859	2532
penguin	SRR7976325_97259	3483
penguin	SRR6960800_24964	3624
penguin	SRR6960802_1137	3685
penguin	SRR6960802_1388	3832
penguin	SRR6960802_7408	3920
penguin	SRR6960802_7637	3981
penguin	SRR6960802_10730	3822
penguin	SRR6960802_13360	3509
penguin	SRR6960802_16530	3800
penguin	SRR6960802_18441	3940
penguin	SRR6960802_18892	3919
penguin	SRR6960802_58023	4214
penguin	SRR6960802_68176	3824
penguin	SRR6960802_68405	3736
penguin	SRR6960802_68855	3830
penguin	SRR6960802_81349	3732
penguin	SRR6960802_81694	3932
penguin	SRR6960802_87915	3202
penguin	SRR6960802_93412	3759
penguin	SRR6960802_102115	3736
penguin	SRR6960802_102262	3112
penguin	SRR6960802_123290	3238
penguin	SRR6960802_145478	5146
penguin	SRR7976356_432	3417
penguin	SRR7976356_3833	3919
penguin	SRR7976356_4444	3852
penguin	SRR7976356_6024	4341
penguin	SRR7976356_7630	3592
penguin	SRR7976356_17766	3914
penguin	SRR7976356_21509	3807
penguin	SRR7976356_22807	3379
penguin	SRR7976356_32039	3059
penguin	SRR7976356_36005	3611
penguin	SRR7976356_37409	3580
penguin	SRR7976356_40042	13984
penguin	SRR7976356_40607	3417
penguin	SRR7976356_45532	4725
penguin	SRR7976356_52390	3585
penguin	SRR7976356_53745	3494
penguin	SRR7976356_63702	4341
penguin	SRR7976356_65500	3395
penguin	SRR7976356_68840	3355
penguin	SRR7976356_70640	3765
penguin	SRR7976356_73468	3776
penguin	SRR7976356_74887	4458
penguin	SRR7976356_88403	3437
penguin	SRR7976356_96053	3576
penguin	SRR7976356_103898	3579
penguin	SRR7976356_106443	3875
penguin	SRR7976356_108435	3303
penguin	SRR7976356_109845	3607
penguin	SRR7976356_119372	3607
penguin	SRR7976356_125305	7091
penguin	SRR7976356_134266	4180
penguin	SRR7976356_149478	3610
penguin	SRR7976356_155838	4285
penguin	SRR7976356_164210	5322
penguin	SRR7976356_170596	2577
penguin	SRR7976356_183930	3952
penguin	SRR7976356_213011	3379
penguin	SRR7976356_233519	3529
penguin	SRR7473382_472	3862
penguin	SRR7473382_919	3861
penguin	SRR7473382_1462	3544
penguin	SRR7473382_2853	3994
penguin	SRR7473382_7458	3861
penguin	SRR7473382_8205	4203
penguin	SRR7473382_9107	4042
penguin	SRR7473382_18087	3862
penguin	SRR7473382_21228	3862
penguin	SRR7473382_27385	3861
penguin	SRR7473382_30123	4015
penguin	SRR7473382_31069	3862
penguin	SRR7473382_32617	3862
penguin	SRR7473382_43132	4015
penguin	SRR7473382_48220	3702
penguin	SRR7473382_49227	3859
penguin	SRR7473382_51581	3862
penguin	SRR7473382_53655	3862
penguin	SRR7473382_54167	3862
penguin	SRR7473382_57372	3862
penguin	SRR7473382_60552	4010
penguin	SRR7473382_95425	4015
penguin	SRR7473382_121695	3859
penguin	SRR7473382_130789	3786
penguin	SRR7473382_147121	3787
penguin	SRR5208573_6713	3917
penguin	SRR5208573_21850	3827
penguin	SRR5208573_23330	3825
penguin	SRR6050738_286	3852
penguin	SRR6050738_1030	3924
penguin	SRR6050738_1096	4027
penguin	SRR6050738_1217	3915
penguin	SRR6050738_2734	4010
penguin	SRR6050738_6578	3893
penguin	SRR6050738_7288	4040
penguin	SRR6050738_8926	3893
penguin	SRR6050738_9178	4040
penguin	SRR6050738_9650	3927
penguin	SRR6050738_10305	3559
penguin	SRR6050738_11650	4027
penguin	SRR6050738_11855	4015
penguin	SRR6050738_11870	3893
penguin	SRR6050738_12044	3893
penguin	SRR6050738_16583	3893
penguin	SRR6050738_18281	3893
penguin	SRR6050738_18714	3852
penguin	SRR6050738_19015	3891
penguin	SRR6050738_24700	4015
penguin	SRR6050738_25789	3479
penguin	SRR6050738_26688	3852
penguin	SRR6050738_28854	3852
penguin	SRR6050738_31266	3893
penguin	SRR6050738_33679	4027
penguin	SRR6050738_76134	3852
penguin	SRR6050738_96540	3852
penguin	SRR6050738_114312	3852
penguin	SRR5208570_2257	4004
penguin	SRR5208570_4885	3509
penguin	SRR5208570_12878	4058
penguin	SRR5208570_20774	4058
penguin	SRR5208570_23606	4013
penguin	SRR5208570_30097	4058
penguin	SRR5208570_32911	4058
penguin	SRR5208570_37439	4058
penguin	SRR5208570_41237	4004
penguin	SRR5208570_45501	4013
penguin	SRR5208572_5344	4936
penguin	SRR5208572_5915	3828
penguin	SRR5208572_10116	3828
penguin	SRR5208572_22927	3569
penguin	SRR5208572_30411	5521
penguin	SRR5208574_4715	3850
penguin	SRR5208574_5969	3850
penguin	SRR5208575_889	3889
penguin	SRR5208575_2354	4011
penguin	SRR5208575_2846	3926
penguin	SRR5208575_9511	4204
penguin	SRR5208575_11995	4010
penguin	SRR5208575_14790	4011
penguin	SRR5208575_23857	4014
penguin	SRR5208575_32478	3925
penguin	SRR5467137_759	3508
penguin	SRR5467137_43068	3919
penguin	SRR5467139_15	3819
penguin	SRR5467139_1363	3607
penguin	SRR5467139_1648	4038
penguin	SRR5467139_1723	3851
penguin	SRR5467139_2835	3679
penguin	SRR5467139_6095	3819
penguin	SRR5467139_6985	3677
penguin	SRR5467139_7735	3851
penguin	SRR5467139_7880	2335
penguin	SRR5467139_15471	3402
penguin	SRR5467139_16842	3785
penguin	SRR5467139_19990	3923
penguin	SRR5467139_24213	3851
penguin	SRR5467139_76581	2529
penguin	SRR5467139_80764	3063
penguin	SRR5467140_9663	4048
penguin	SRR5467140_19063	3851
penguin	SRR5467140_20563	3996
penguin	SRR5467140_67233	3851
penguin	SRR6050482_551	3817
penguin	SRR6050482_775	3817
penguin	SRR6050482_4491	4315
penguin	SRR6050483_1219	3768
penguin	SRR6050483_5841	3925
penguin	SRR6050528_15478	3822
penguin	SRR6050528_16443	3920
penguin	SRR6050643_1172	3825
penguin	SRR6050643_17351	3825
penguin	SRR6050698_2694	3851
penguin	SRR6050698_3350	3851
penguin	SRR6050698_4558	3851
penguin	SRR6050698_10839	4026
penguin	SRR6050698_15310	4249
penguin	SRR6050698_19668	3851
penguin	SRR6050698_27371	3115
penguin	SRR6050698_33552	3919
penguin	SRR6050716_6	3861
penguin	SRR6050716_682	3861
penguin	SRR6050716_2942	3808
penguin	SRR6050716_3457	3861
penguin	SRR6050716_3560	3861
penguin	SRR6050716_12094	3808
penguin	SRR6050716_13772	3861
penguin	SRR6050716_17450	3507
penguin	SRR5466399_15055	2377
penguin	SRR5466399_75023	2597
penguin	SRR6254352_6476	3338
penguin	SRR6254352_52558	3906
penguin	SRR6254352_92227	2638
penguin	SRR6960507_486	3679
penguin	SRR6960507_3779	3407
penguin	SRR6960507_5378	4332
penguin	SRR6960507_6785	4376
penguin	SRR6960507_10632	3757
penguin	SRR6960507_11612	3642
penguin	SRR6960507_14169	3547
penguin	SRR6960507_20689	3691
penguin	SRR6960507_23219	4040
penguin	SRR6960507_35447	3760
penguin	SRR6960507_38510	3517
penguin	SRR6960507_39152	4376
penguin	SRR6960507_41206	4054
penguin	SRR6960507_42783	3660
penguin	SRR6960507_43015	3870
penguin	SRR6960507_45005	3704
penguin	SRR6960507_50565	2893
penguin	SRR6960507_57414	4350
penguin	SRR6960507_65779	3551
penguin	SRR6960507_78583	3547
penguin	SRR6960507_101911	3799
penguin	SRR6960507_118349	3474
penguin	SRR6960507_134480	3241
penguin	SRR6960507_155359	6004
penguin	SRR6960507_165486	5391
penguin	SRR6960507_165574	3767
penguin	SRR5466338_2400	5566
penguin	SRR5466338_5718	4103
penguin	SRR5466338_8038	2608
penguin	SRR5466338_9254	4247
penguin	SRR5466338_17239	3895
penguin	SRR5466338_36649	2992
penguin	SRR5466338_38512	2699
penguin	SRR5466338_39342	4297
penguin	SRR5466338_46862	7379
penguin	SRR5466338_47502	2287
penguin	SRR5466338_49829	3758
penguin	SRR5466338_51480	3300
penguin	SRR5466338_52360	4405
penguin	SRR5466338_57077	7446
penguin	SRR5466338_57090	2856
penguin	SRR5466338_58027	4389
penguin	SRR5466338_58672	7103
penguin	SRR5466338_64345	4166
penguin	SRR5466338_77662	6359
penguin	SRR5466338_90667	3931
penguin	SRR5466338_91945	4001
penguin	SRR5466338_96880	2697
penguin	SRR5466338_96983	4568
penguin	SRR5466338_97512	7175
penguin	SRR5466338_101785	8535
penguin	SRR5466338_107184	3746
penguin	SRR5466338_108730	4004
penguin	SRR5466338_132575	2499
penguin	SRR5466338_134710	2794
penguin	SRR5466338_136552	4474
penguin	SRR5466338_148760	3733
penguin	SRR5466338_180032	2961
penguin	SRR5466338_185868	4000
penguin	SRR5466364_1614	3832
penguin	SRR5466364_3141	4377
penguin	SRR5466364_9729	3561
penguin	SRR5466364_10037	4258
penguin	SRR5466364_31222	2558
penguin	SRR5466364_49111	3590
penguin	SRR5466364_57142	3557
penguin	SRR5466364_60613	3343
penguin	SRR5466364_68029	4784
penguin	SRR5466364_86485	3694
penguin	SRR5466364_121723	3620
penguin	SRR5466364_134701	3343
penguin	SRR5466364_149847	3832
penguin	SRR5466364_155860	3619
penguin	SRR5466365_2175	3586
penguin	SRR5466365_8620	3519
penguin	SRR5466365_11117	3935
penguin	SRR5466365_12533	4387
penguin	SRR5466365_20039	4837
penguin	SRR5466365_20927	3504
penguin	SRR5466365_21832	2520
penguin	SRR5466365_29657	6955
penguin	SRR5466365_29924	3868
penguin	SRR5466365_29949	4790
penguin	SRR5466365_45622	3841
penguin	SRR5466365_45692	3371
penguin	SRR5466365_45730	2557
penguin	SRR5466365_52926	4146
penguin	SRR5466365_52975	3933
penguin	SRR5466365_53362	3337
penguin	SRR5466365_54661	5984
penguin	SRR5466365_55356	3383
penguin	SRR5466365_57941	3735
penguin	SRR5466365_60563	4118
penguin	SRR5466365_60679	4340
penguin	SRR5466365_83059	2835
penguin	SRR5466365_86503	4416
penguin	SRR5466365_89197	7285
penguin	SRR5466365_89745	7169
penguin	SRR5466365_89821	3960
penguin	SRR5466365_96086	4084
penguin	SRR5466365_103843	6120
penguin	SRR5466365_107720	2185
penguin	SRR5466365_109630	3175
penguin	SRR5466365_110030	3509
penguin	SRR5466365_111674	3781
penguin	SRR5466365_116140	2997
penguin	SRR5466365_116422	3783
