Assemblies	penguin	megahit	metaspades	rnaspades	rnaviralspades	savage	iva	vicuna	haploflow	Cov	metaviralspades
HIV1.cut.id_A04321.1	20.09	-	-	-	-	-	-	36.0	-	1	-
HIV1.cut.id_A07108.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_A07116.1	11.957	-	-	-	16.917	-	-	-	-	1	-
HIV1.cut.id_A07867.1	18.659	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_A14116.1	27.859	6.631	-	-	-	-	-	-	-	1	-
HIV1.cut.id_A34828.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB023804.1	36.279	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB032740.1	12.347	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB032741.1	-	-	-	-	-	-	-	2.77	-	1	-
HIV1.cut.id_AB049811.1	18.285	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB052867.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB052995.1	70.309	-	-	-	-	-	-	19.357	-	1	-
HIV1.cut.id_AB070352.1	12.929	-	-	7.069	-	-	-	-	-	1	-
HIV1.cut.id_AB070353.1	43.689	-	-	15.121	-	-	-	-	-	1	-
HIV1.cut.id_AB078005.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097865.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097866.1	21.894	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097867.1	14.343	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097868.1	11.646	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097869.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097870.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097871.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097872.1	14.157	9.914	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097873.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098330.1	18.293	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098331.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098332.1	12.574	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098333.1	16.703	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220944.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220945.1	7.467	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220946.1	65.535	-	-	8.754	-	-	-	-	-	1	-
HIV1.cut.id_AB220947.1	18.983	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220948.1	76.759	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB221005.1	12.847	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB221125.1	18.43	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB221126.1	26.872	-	-	11.855	-	-	-	-	-	1	-
HIV1.cut.id_AB231893.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231894.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231895.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231896.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231897.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231898.1	11.242	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253421.1	27.759	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253422.1	14.523	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253423.1	30.111	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253424.1	37.295	-	-	20.99	-	-	-	-	-	1	-
HIV1.cut.id_AB253425.1	12.93	-	-	32.435	-	-	-	-	-	1	-
HIV1.cut.id_AB253426.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253427.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253428.1	14.748	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253429.1	47.577	-	-	7.416	-	-	-	-	-	1	-
HIV1.cut.id_AB253430.1	13.231	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253431.1	19.344	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253432.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253635.1	7.224	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253636.1	16.806	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253637.1	35.11	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253638.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253639.1	60.32	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253640.1	57.383	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253641.1	-	-	-	16.1	-	-	-	-	-	1	-
HIV1.cut.id_AB253642.1	31.337	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253643.1	11.74	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253644.1	35.82	-	-	23.053	-	-	-	-	-	1	-
HIV1.cut.id_AB253645.1	99.956	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253646.1	64.491	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253647.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253648.1	41.829	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253649.1	100.0	-	-	9.137	-	-	-	-	-	1	-
HIV1.cut.id_AB253650.1	57.165	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253651.1	30.456	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253652.1	100.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253653.1	92.629	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253654.1	-	21.762	-	-	-	-	-	17.023	-	1	-
HIV1.cut.id_AB253655.1	40.287	-	-	20.226	-	-	-	-	-	1	-
HIV1.cut.id_AB253656.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253657.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253658.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253659.1	56.177	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253660.1	100.0	-	-	23.056	-	-	-	-	-	1	-
HIV1.cut.id_AB253661.1	23.788	-	-	13.379	-	-	-	-	-	1	-
HIV1.cut.id_AB253662.1	53.76	-	-	23.705	-	-	-	-	-	1	-
HIV1.cut.id_AB253663.1	61.005	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253664.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253665.1	90.831	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253666.1	100.0	-	-	15.094	-	-	-	-	-	1	-
HIV1.cut.id_AB253667.1	96.035	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253668.1	73.449	-	-	15.094	-	-	-	-	-	1	-
HIV1.cut.id_AB253669.1	17.139	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253670.1	65.543	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253671.1	26.361	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253672.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253673.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253674.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253675.1	42.44	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253676.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253677.1	15.559	-	-	-	-	11.683	-	-	-	1	-
HIV1.cut.id_AB253678.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253679.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253680.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253681.1	73.904	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253682.1	52.713	-	-	13.493	-	-	-	-	-	1	-
HIV1.cut.id_AB253683.1	24.309	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253684.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253685.1	100.0	-	-	33.476	-	-	-	-	-	1	-
HIV1.cut.id_AB253686.1	30.717	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253687.1	27.785	-	-	36.031	-	-	-	-	-	1	-
HIV1.cut.id_AB253688.1	23.18	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253689.1	56.122	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253690.1	78.395	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253691.1	18.75	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253692.1	73.132	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253693.1	32.2	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253694.1	84.385	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253695.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253696.1	25.718	-	-	36.084	-	-	-	-	-	1	-
HIV1.cut.id_AB253697.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253698.1	96.678	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253699.1	-	-	-	13.037	-	-	-	-	-	1	-
HIV1.cut.id_AB253700.1	53.651	-	-	12.336	-	-	-	-	-	1	-
HIV1.cut.id_AB253701.1	47.654	-	-	26.02	-	-	-	-	-	1	-
HIV1.cut.id_AB253702.1	13.344	-	-	23.805	-	-	-	-	-	1	-
HIV1.cut.id_AB253703.1	63.471	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253704.1	31.196	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253705.1	12.458	-	-	20.916	-	-	-	-	-	1	-
HIV1.cut.id_AB253706.1	41.251	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253707.1	58.267	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253708.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253709.1	93.251	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253710.1	39.904	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253711.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253712.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253713.1	33.852	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253714.1	26.811	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253715.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253716.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253717.1	16.336	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253718.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253719.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253720.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253721.1	100.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253722.1	-	-	-	20.197	-	-	-	-	-	1	-
HIV1.cut.id_AB253723.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253724.1	42.468	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253725.1	68.546	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254141.1	27.599	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254142.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254143.1	-	11.969	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254144.1	43.663	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254145.1	48.383	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254146.1	6.508	5.853	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254147.1	12.093	-	-	10.871	-	-	-	-	-	1	-
HIV1.cut.id_AB254148.1	12.817	-	-	3.083	-	-	-	-	-	1	-
HIV1.cut.id_AB254149.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254150.1	63.333	11.529	-	65.644	14.576	-	-	-	-	1	-
HIV1.cut.id_AB254151.1	99.989	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254152.1	31.474	4.323	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254153.2	67.745	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254154.1	41.903	-	-	37.327	13.916	-	-	-	-	1	-
HIV1.cut.id_AB254155.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB254156.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286849.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286850.1	11.162	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286851.1	5.991	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286852.1	14.332	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286853.1	23.948	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286854.1	16.16	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286855.1	33.705	-	-	11.745	-	-	-	-	-	1	-
HIV1.cut.id_AB286856.1	14.99	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286857.1	13.539	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286858.1	35.331	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286859.1	38.296	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286860.1	10.528	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286861.1	-	-	-	3.102	-	-	-	-	-	1	-
HIV1.cut.id_AB286862.1	11.789	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286863.1	50.521	-	-	24.679	-	-	-	-	-	1	-
HIV1.cut.id_AB286864.1	14.029	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286955.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB286956.1	34.214	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287003.1	57.262	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287004.1	-	-	11.054	12.419	-	-	-	-	-	1	-
HIV1.cut.id_AB287363.1	7.653	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287364.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287365.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287366.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287367.1	35.488	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287368.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287369.1	32.149	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287370.1	42.694	-	-	27.767	-	-	-	-	-	1	-
HIV1.cut.id_AB287371.1	18.995	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287372.1	7.633	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287376.1	1.738	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB287377.1	-	-	-	-	3.872	-	-	-	-	1	-
HIV1.cut.id_AB287378.1	-	-	-	4.302	-	-	-	-	-	1	-
HIV1.cut.id_AB287379.1	12.148	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB289587.1	16.403	1.132	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB289588.1	12.661	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB289589.1	9.331	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB289590.1	20.934	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428551.1	12.216	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428552.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428553.1	52.239	-	-	12.026	-	-	-	-	-	1	-
HIV1.cut.id_AB428554.1	15.988	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428555.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428556.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428557.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428558.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428559.1	26.744	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB428560.1	-	-	-	11.677	-	-	-	-	-	1	-
HIV1.cut.id_AB428561.1	-	-	-	5.668	-	-	-	-	-	1	-
HIV1.cut.id_AB428562.1	23.799	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480044.1	21.238	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480045.1	40.54	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480046.1	24.128	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480047.1	27.671	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480048.1	23.847	-	-	12.712	-	-	-	-	-	1	-
HIV1.cut.id_AB480298.1	49.488	-	-	14.977	-	-	-	-	-	1	-
HIV1.cut.id_AB480299.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480300.1	11.809	-	-	6.803	-	-	-	-	-	1	-
HIV1.cut.id_AB480301.1	-	-	-	7.161	-	-	-	-	-	1	-
HIV1.cut.id_AB480692.1	12.091	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480693.1	15.332	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480694.1	3.438	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480695.1	16.764	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480696.1	11.544	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480697.1	11.754	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB480698.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485632.1	12.353	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485633.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485634.1	12.726	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485635.1	40.874	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485636.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485637.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485638.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485639.1	16.619	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485640.1	36.376	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485641.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485642.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485643.1	20.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485644.1	38.765	4.383	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485645.1	10.806	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485646.1	38.328	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485647.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485648.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485649.1	9.924	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485650.1	22.492	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485651.1	23.708	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485652.1	16.196	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485653.1	13.812	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485654.1	-	-	-	12.463	-	-	-	-	-	1	-
HIV1.cut.id_AB485655.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485656.1	25.547	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB485657.1	17.978	-	-	-	-	-	-	-	-	1	-
