Assemblies	penguin	rnaspades	err_rate
HIV1.cut.id_A04321.1	100.000	19.606	0.001
HIV1.cut.id_A07108.1	62.613	12.371	0.001
HIV1.cut.id_A07116.1	100.000	51.100	0.001
HIV1.cut.id_A07867.1	10.172	17.085	0.001
HIV1.cut.id_A14116.1	-	39.788	0.001
HIV1.cut.id_A34828.1	76.266	39.476	0.001
HIV1.cut.id_AB023804.1	55.125	27.276	0.001
HIV1.cut.id_AB032740.1	83.559	-	0.001
HIV1.cut.id_AB032741.1	91.252	8.408	0.001
HIV1.cut.id_AB049811.1	71.183	50.766	0.001
HIV1.cut.id_AB052867.1	100.000	30.292	0.001
HIV1.cut.id_AB052995.1	81.501	34.907	0.001
HIV1.cut.id_AB070352.1	72.614	-	0.001
HIV1.cut.id_AB070353.1	73.214	49.983	0.001
HIV1.cut.id_AB078005.1	99.989	39.659	0.001
HIV1.cut.id_AB097865.1	91.598	44.550	0.001
HIV1.cut.id_AB097866.1	82.696	55.446	0.001
HIV1.cut.id_AB097867.1	92.363	54.035	0.001
HIV1.cut.id_AB097868.1	80.513	15.140	0.001
HIV1.cut.id_AB097869.1	99.636	32.770	0.001
HIV1.cut.id_AB097870.1	98.538	48.582	0.001
HIV1.cut.id_AB097871.1	79.533	7.770	0.001
HIV1.cut.id_AB097872.1	99.978	22.895	0.001
HIV1.cut.id_AB097873.1	82.537	41.595	0.001
HIV1.cut.id_AB098330.1	77.340	48.473	0.001
HIV1.cut.id_AB098331.1	52.850	16.253	0.001
HIV1.cut.id_AB098332.1	46.311	12.442	0.001
HIV1.cut.id_AB098333.1	100.000	34.430	0.001
HIV1.cut.id_AB220944.1	46.129	36.837	0.001
HIV1.cut.id_AB220945.1	89.563	-	0.001
HIV1.cut.id_AB220946.1	99.879	47.828	0.001
HIV1.cut.id_AB220947.1	45.108	27.138	0.001
HIV1.cut.id_AB220948.1	64.946	18.606	0.001
HIV1.cut.id_AB221005.1	60.772	5.201	0.001
HIV1.cut.id_AB221125.1	78.156	23.524	0.001
HIV1.cut.id_AB221126.1	73.655	38.167	0.001
HIV1.cut.id_AB231893.1	81.626	-	0.001
HIV1.cut.id_AB231894.1	93.148	46.673	0.001
HIV1.cut.id_AB231895.1	51.091	31.883	0.001
HIV1.cut.id_AB231896.1	100.000	78.335	0.001
HIV1.cut.id_AB231897.1	100.000	49.257	0.001
HIV1.cut.id_AB231898.1	83.464	53.990	0.001
HIV1.cut.id_AB253421.1	97.296	12.665	0.001
HIV1.cut.id_AB253422.1	28.507	41.545	0.001
HIV1.cut.id_AB253423.1	32.413	-	0.001
HIV1.cut.id_AB253424.1	100.000	67.795	0.001
HIV1.cut.id_AB253425.1	57.581	-	0.001
HIV1.cut.id_AB253426.1	72.341	19.484	0.001
HIV1.cut.id_AB253427.1	72.333	21.613	0.001
HIV1.cut.id_AB253428.1	100.000	19.103	0.001
HIV1.cut.id_AB253429.1	100.000	19.961	0.001
HIV1.cut.id_AB253430.1	76.550	19.179	0.001
HIV1.cut.id_AB253431.1	30.552	-	0.001
HIV1.cut.id_AB253432.1	16.056	-	0.001
HIV1.cut.id_AB253635.1	-	-	0.001
HIV1.cut.id_AB253636.1	81.166	-	0.001
HIV1.cut.id_AB253637.1	-	26.083	0.001
HIV1.cut.id_AB253638.1	31.935	-	0.001
HIV1.cut.id_AB253639.1	19.862	11.663	0.001
HIV1.cut.id_AB253640.1	58.545	4.190	0.001
HIV1.cut.id_AB253641.1	13.327	-	0.001
HIV1.cut.id_AB253642.1	33.948	18.526	0.001
HIV1.cut.id_AB253643.1	56.999	-	0.001
HIV1.cut.id_AB253644.1	42.863	-	0.001
HIV1.cut.id_AB253645.1	37.790	3.606	0.001
HIV1.cut.id_AB253646.1	22.148	-	0.001
HIV1.cut.id_AB253647.1	-	24.183	0.001
HIV1.cut.id_AB253648.1	98.048	-	0.001
HIV1.cut.id_AB253649.1	77.120	32.160	0.001
HIV1.cut.id_AB253650.1	-	-	0.001
HIV1.cut.id_AB253651.1	-	-	0.001
HIV1.cut.id_AB253652.1	11.495	12.800	0.001
HIV1.cut.id_AB253653.1	57.047	11.703	0.001
HIV1.cut.id_AB253654.1	27.026	-	0.001
HIV1.cut.id_AB253655.1	57.651	-	0.001
HIV1.cut.id_AB253656.1	10.990	22.990	0.001
HIV1.cut.id_AB253657.1	-	18.524	0.001
HIV1.cut.id_AB253658.1	-	16.407	0.001
HIV1.cut.id_AB253659.1	22.851	-	0.001
HIV1.cut.id_AB253660.1	100.000	-	0.001
HIV1.cut.id_AB253661.1	-	-	0.001
HIV1.cut.id_AB253662.1	-	33.563	0.001
HIV1.cut.id_AB253663.1	29.934	20.164	0.001
HIV1.cut.id_AB253664.1	55.362	31.661	0.001
HIV1.cut.id_AB253665.1	22.798	12.929	0.001
HIV1.cut.id_AB253666.1	-	12.899	0.001
HIV1.cut.id_AB253667.1	24.126	21.909	0.001
HIV1.cut.id_AB253668.1	50.874	-	0.001
HIV1.cut.id_AB253669.1	79.326	-	0.001
HIV1.cut.id_AB253670.1	24.204	-	0.001
HIV1.cut.id_AB253671.1	60.101	-	0.001
HIV1.cut.id_AB253672.1	40.283	-	0.001
HIV1.cut.id_AB253673.1	81.651	3.459	0.001
HIV1.cut.id_AB253674.1	60.898	2.789	0.001
HIV1.cut.id_AB253675.1	1.801	-	0.001
HIV1.cut.id_AB253676.1	-	11.585	0.001
HIV1.cut.id_AB253677.1	-	2.515	0.001
HIV1.cut.id_AB253678.1	-	-	0.001
HIV1.cut.id_AB253679.1	16.733	12.341	0.001
HIV1.cut.id_AB253680.1	-	-	0.001
HIV1.cut.id_AB253681.1	57.719	36.787	0.001
HIV1.cut.id_AB253682.1	17.067	27.063	0.001
HIV1.cut.id_AB253683.1	-	21.590	0.001
HIV1.cut.id_AB253684.1	-	10.581	0.001
HIV1.cut.id_AB253685.1	75.951	-	0.001
HIV1.cut.id_AB253686.1	17.639	-	0.001
HIV1.cut.id_AB253687.1	11.996	27.807	0.001
HIV1.cut.id_AB253688.1	37.379	10.088	0.001
HIV1.cut.id_AB253689.1	11.093	18.579	0.001
HIV1.cut.id_AB253690.1	46.684	-	0.001
HIV1.cut.id_AB253691.1	80.658	-	0.001
HIV1.cut.id_AB253692.1	67.488	16.667	0.001
HIV1.cut.id_AB253693.1	11.571	-	0.001
HIV1.cut.id_AB253694.1	41.163	10.359	0.001
HIV1.cut.id_AB253695.1	71.000	-	0.001
HIV1.cut.id_AB253696.1	39.382	-	0.001
HIV1.cut.id_AB253697.1	76.886	-	0.001
HIV1.cut.id_AB253698.1	37.434	-	0.001
HIV1.cut.id_AB253699.1	11.217	-	0.001
HIV1.cut.id_AB253700.1	12.160	12.621	0.001
HIV1.cut.id_AB253701.1	67.357	13.958	0.001
HIV1.cut.id_AB253702.1	95.757	14.594	0.001
HIV1.cut.id_AB253703.1	87.542	-	0.001
HIV1.cut.id_AB253704.1	48.167	-	0.001
HIV1.cut.id_AB253705.1	53.084	-	0.001
HIV1.cut.id_AB253706.1	38.545	-	0.001
HIV1.cut.id_AB253707.1	16.687	-	0.001
HIV1.cut.id_AB253708.1	95.639	-	0.001
HIV1.cut.id_AB253709.1	100.000	-	0.001
HIV1.cut.id_AB253710.1	25.868	-	0.001
HIV1.cut.id_AB253711.1	-	-	0.001
HIV1.cut.id_AB253712.1	75.748	-	0.001
HIV1.cut.id_AB253713.1	13.869	-	0.001
HIV1.cut.id_AB253714.1	28.739	11.121	0.001
HIV1.cut.id_AB253715.1	-	-	0.001
HIV1.cut.id_AB253716.1	83.050	-	0.001
HIV1.cut.id_AB253717.1	23.785	-	0.001
HIV1.cut.id_AB253718.1	-	13.363	0.001
HIV1.cut.id_AB253719.1	24.663	-	0.001
HIV1.cut.id_AB253720.1	-	-	0.001
HIV1.cut.id_AB253721.1	-	10.521	0.001
HIV1.cut.id_AB253722.1	100.000	-	0.001
