Assemblies	penguin	rnaspades	err_rate
HIV1.cut.id_A04321.1	4973.04	2974.19	0.001
HIV1.cut.id_A07108.1	70.37	2493.32	0.001
HIV1.cut.id_A07116.1	700.76	3985.43	0.001
HIV1.cut.id_A07867.1	2922.08	4317.01	0.001
HIV1.cut.id_A14116.1	-	442.97	0.001
HIV1.cut.id_A34828.1	72.47	2492.30	0.001
HIV1.cut.id_AB023804.1	1861.49	4733.01	0.001
HIV1.cut.id_AB032740.1	2449.62	-	0.001
HIV1.cut.id_AB032741.1	1674.09	3529.41	0.001
HIV1.cut.id_AB049811.1	3057.31	2843.60	0.001
HIV1.cut.id_AB052867.1	425.58	12536.02	0.001
HIV1.cut.id_AB052995.1	3726.71	2868.85	0.001
HIV1.cut.id_AB070352.1	6298.26	-	0.001
HIV1.cut.id_AB070353.1	2389.90	2421.84	0.001
HIV1.cut.id_AB078005.1	2650.10	2938.73	0.001
HIV1.cut.id_AB097865.1	977.55	2084.37	0.001
HIV1.cut.id_AB097866.1	564.44	4690.32	0.001
HIV1.cut.id_AB097867.1	1512.06	3261.54	0.001
HIV1.cut.id_AB097868.1	6304.95	4090.58	0.001
HIV1.cut.id_AB097869.1	6695.49	2628.92	0.001
HIV1.cut.id_AB097870.1	2353.60	3461.54	0.001
HIV1.cut.id_AB097871.1	1025.50	1702.13	0.001
HIV1.cut.id_AB097872.1	3254.18	1488.24	0.001
HIV1.cut.id_AB097873.1	92.28	3635.89	0.001
HIV1.cut.id_AB098330.1	1653.84	1387.63	0.001
HIV1.cut.id_AB098331.1	2920.93	3595.66	0.001
HIV1.cut.id_AB098332.1	998.57	3539.82	0.001
HIV1.cut.id_AB098333.1	330.11	1406.20	0.001
HIV1.cut.id_AB220944.1	4142.86	4263.57	0.001
HIV1.cut.id_AB220945.1	3867.88	-	0.001
HIV1.cut.id_AB220946.1	7583.62	8160.44	0.001
HIV1.cut.id_AB220947.1	2122.47	4947.28	0.001
HIV1.cut.id_AB220948.1	4390.57	4437.87	0.001
HIV1.cut.id_AB221005.1	2858.70	4468.09	0.001
HIV1.cut.id_AB221125.1	1671.35	979.93	0.001
