Assemblies	penguin	megahit	metaspades	rnaspades	rnaviralspades	savage	iva	vicuna	haploflow	Cov	metaviralspades
HIV1.cut.id_A04321.1	0.0	-	-	-	-	-	-	0.0	-	1	-
HIV1.cut.id_A07108.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_A07116.1	0.0	-	-	-	0.0	-	-	-	-	1	-
HIV1.cut.id_A07867.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_A14116.1	0.0	0.0	-	-	-	-	-	-	-	1	-
HIV1.cut.id_A34828.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB023804.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB032740.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB032741.1	-	-	-	-	-	-	-	0.0	-	1	-
HIV1.cut.id_AB049811.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB052867.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB052995.1	1.0	-	-	-	-	-	-	0.0	-	1	-
HIV1.cut.id_AB070352.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB070353.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB078005.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097865.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097866.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097867.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097868.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097869.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097870.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097871.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097872.1	0.0	0.0	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB097873.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098330.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098331.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098332.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB098333.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220944.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220945.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220946.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB220947.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB220948.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB221005.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB221125.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB221126.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB231893.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231894.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231895.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231896.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231897.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB231898.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253421.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253422.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253423.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253424.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253425.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253426.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253427.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253428.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253429.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253430.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253431.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253432.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253635.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253636.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253637.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253638.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253639.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253640.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253641.1	-	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253642.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253643.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253644.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253645.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253646.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253647.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253648.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253649.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253650.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253651.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253652.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253653.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253654.1	-	0.0	-	-	-	-	-	0.0	-	1	-
HIV1.cut.id_AB253655.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253656.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253657.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253658.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253659.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253660.1	1.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253661.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253662.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253663.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253664.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253665.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253666.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253667.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253668.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253669.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253670.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253671.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253672.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253673.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253674.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253675.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253676.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253677.1	0.0	-	-	-	-	0.0	-	-	-	1	-
HIV1.cut.id_AB253678.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253679.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253680.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253681.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253682.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253683.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253684.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253685.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253686.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253687.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253688.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253689.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253690.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253691.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253692.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253693.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253694.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253695.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253696.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253697.1	-	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253698.1	0.0	-	-	-	-	-	-	-	-	1	-
HIV1.cut.id_AB253699.1	-	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253700.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253701.1	0.0	-	-	0.0	-	-	-	-	-	1	-
HIV1.cut.id_AB253702.1	0.0	-	-	0.0	-	-	-	-	-	1	-
